station,yaer,w_y
"CORVALLIS WATER BUREAU, OR US",1937,3835.3
,1938,2450.6
,1939,1740.5
,1940,1801.1
,1941,1561.7
,1942,1511.4
,1943,2943.7
,1944,1146.3
,1945,1627.1
,1946,1887.3
,1947,1945
,1948,2314.2
,1949,2807.9
,1950,4851.6
,1951,2537
,1952,1438.5
,1953,1778.7
,1954,1710
,1955,1495.3
,1956,2204.2
,1957,1430.8
,1958,2139.4
,1959,1601.3
,1960,2041.5
,1961,1451.5
,1962,1265.3
,1963,1633.4
,1964,1754.7
,1965,1704.9
,1966,1480.9
,1967,1668
,1968,1755.7
,1969,1772
,1970,2570.8
,1971,2239.5
,1972,1185.5
,1973,2880.4
,1974,1708.6
,1975,1729.9
,1976,814.7
,1977,1789.3
,1978,1286.4
,1979,1840.8
,1980,1444.3
,1981,2555.9
,1982,2308.1
,1983,1955.2
,1984,8719
,1985,8725.5
,1986,1658.8
,1987,1682.5
,1988,2352.9
,1989,2094.3
,1990,1430.9
,1991,1116.6
,1992,2297.6
,1993,1192.3
,1994,2444
,1995,2606.6
,1996,2213.7
,1997,2040.7
,1998,2761.4
,1999,1799.4
,2000,924.9
,2001,2430.3
,2002,1964.5
,2003,1963.7
,2004,1192.8
,2005,2176.6
,2006,2050.6
,2007,1986.9
,2008,1762.9
,2009,1885.4
,2010,1911.3
,2011,1843.2
,2012,1531.9
,2013,1776.5
,2014,1453.6
,2015,1948.9
,2016,2825.3
,2017,1549.4
